id,name,team,position,price_m,has_history,is_promoted_team
411,Erling Haaland,Man City,FWD,15.5,True,False
426,Bruno Borges Fernandes,Man Utd,MID,12.0,True,False
12,Bukayo Saka,Arsenal,MID,9.5,True,False
154,Cole Palmer,Chelsea,MID,9.5,True,False
379,Alexander Isak,Liverpool,FWD,9.0,True,False
397,Antoine Semenyo,Man City,MID,8.5,True,False
427,Bryan Mbeumo,Man Utd,MID,8.0,True,False
4,Gabriel dos Santos Magalhães,Arsenal,DEF,8.0,True,False
428,Matheus Santos Carneiro da Cunha,Man Utd,MID,8.0,True,False
106,Igor Thiago Nascimento Rodrigues,Brentford,FWD,8.0,True,False
480,Morgan Gibbs-White,Nott'm Forest,MID,8.0,True,False
55,Ollie Watkins,Aston Villa,FWD,8.0,True,False
400,Jérémy Doku,Man City,MID,7.5,True,False
380,Hugo Ekitiké,Liverpool,FWD,7.5,True,False
366,Florian Wirtz,Liverpool,MID,7.5,True,False
78,Junior Kroupi,Bournemouth,MID,7.5,True,False
399,Rayan Cherki,Man City,MID,7.5,True,False
40,Morgan Rogers,Chelsea,MID,7.5,True,False
165,João Pedro Junqueira de Jesus,Chelsea,FWD,7.5,True,False
13,Declan Rice,Arsenal,MID,7.5,True,False
25,Viktor Gyökeres,Arsenal,FWD,7.5,True,False
26,Kai Havertz,Arsenal,FWD,7.5,True,False
367,Cody Gakpo,Liverpool,MID,7.0,True,False
401,Omar Marmoush,Man City,FWD,7.0,True,False
439,Benjamin Sesko,Man Utd,FWD,7.0,True,False
155,Enzo Fernández,Chelsea,MID,7.0,True,False
452,Bruno Guimarães Rodriguez Moura,Arsenal,MID,7.0,True,False
429,Marcus Rashford,Man Utd,MID,7.0,True,False
368,Dominik Szoboszlai,Liverpool,MID,7.0,True,False
398,Phil Foden,Man City,MID,7.0,True,False
387,Nico O'Reilly,Man City,DEF,6.5,True,False
402,Rodrigo 'Rodri' Hernandez Cascante,Man City,MID,6.5,True,False
223,Jean-Philippe Mateta,Crystal Palace,FWD,6.5,True,False
166,Nicolas Jackson,Chelsea,FWD,6.5,True,False
260,Harry Wilson,Leeds,MID,6.5,True,False
377,Victor Munoz,Liverpool,MID,6.5,False,False
14,Eberechi Eze,Arsenal,MID,6.5,True,False
15,Martin Ødegaard,Arsenal,MID,6.5,True,False
208,Ismaïla Sarr,Crystal Palace,MID,6.5,True,False
156,Pedro Lomba Neto,Chelsea,MID,6.5,True,False
356,Virgil van Dijk,Liverpool,DEF,6.5,True,False
157,Estêvão Almeida de Oliveira Gonçalves,Chelsea,MID,6.5,True,False
238,Jack Grealish,Man City,MID,6.5,True,False
236,Kiernan Dewsbury-Hall,Everton,MID,6.5,True,False
403,Sávio Moreira de Oliveira,Man City,MID,6.5,True,False
512,Mohammed Kudus,Spurs,MID,6.5,True,False
515,James Maddison,Spurs,MID,6.5,True,False
95,Dango Ouattara,Brentford,MID,6.5,True,False
481,Elliot Anderson,Man City,MID,6.5,True,False
67,Rayan Vitor Simplício Rocha,Bournemouth,MID,6.5,True,False
557,Christos Tzolis,Arsenal,MID,6.5,True,False
521,Dejan Kulusevski,Spurs,MID,6.5,True,False
5,Jurriën Timber,Arsenal,DEF,6.5,True,False
16,Noni Madueke,Arsenal,MID,6.5,True,False
18,Gabriel Martinelli Silva,Arsenal,MID,6.5,True,False
158,Jamie Bynoe-Gittens,Chelsea,MID,6.0,True,False
371,Ryan Gravenberch,Liverpool,MID,6.0,True,False
369,Rio Ngumoha,Liverpool,MID,6.0,True,False
336,Noah Okafor,Leeds,MID,6.0,True,False
346,Dominic Calvert-Lewin,Leeds,FWD,6.0,True,False
43,Youri Tielemans,Man Utd,MID,6.0,True,False
415,Patrick Dorgu,Man Utd,MID,6.0,True,False
431,Amad Diallo,Man Utd,MID,6.0,True,False
105,Jaidon Anthony,Brentford,MID,6.0,True,False
94,Kevin Schade,Brentford,MID,6.0,True,False
69,Alex Scott,Bournemouth,MID,6.0,True,False
491,Igor Jesus Maciel da Cruz,Nott'm Forest,FWD,6.0,True,False
498,Marcos Senesi Barón,Spurs,DEF,6.0,True,False
465,William Osula,Newcastle,FWD,6.0,True,False
464,Yoane Wissa,Newcastle,FWD,6.0,True,False
463,Nick Woltemade,Newcastle,FWD,6.0,True,False
461,Bazoumana Touré,Newcastle,MID,6.0,False,False
79,Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,6.0,True,False
53,Johan Manzambi,Aston Villa,MID,6.0,False,False
160,Alejandro Garnacho Ferreyra,Aston Villa,MID,6.0,True,False
41,Emiliano Buendía Stati,Aston Villa,MID,6.0,True,False
68,Marcus Tavernier,Bournemouth,MID,6.0,True,False
453,Harvey Barnes,Newcastle,MID,6.0,True,False
457,Jacob Murphy,Newcastle,MID,6.0,True,False
454,Anthony Elanga,Newcastle,MID,6.0,True,False
70,Justin Kluivert,Bournemouth,MID,6.0,True,False
482,Callum Hudson-Odoi,Nott'm Forest,MID,6.0,True,False
490,Chris Wood,Nott'm Forest,FWD,6.0,True,False
81,Álvaro Rodríguez,Bournemouth,FWD,6.0,False,False
514,Mathys Tel,Spurs,MID,6.0,True,False
513,Xavi Simons,Spurs,MID,6.0,True,False
27,Gabriel Fernando de Jesus,Arsenal,FWD,6.0,True,False
527,Richarlison de Andrade,Spurs,FWD,6.0,True,False
525,Mateus Fernandes,Spurs,MID,6.0,False,False
526,Dominic Solanke-Mitchell,Spurs,FWD,6.0,True,False
552,Brian Brobbey,Sunderland,FWD,6.0,True,False
1,David Raya Martín,Arsenal,GK,6.0,True,False
239,James Garner,Everton,MID,6.0,True,False
569,Gonzalo García,Fulham,FWD,6.0,False,False
136,Danny Welbeck,Chelsea,FWD,6.0,True,False
389,Matheus Nunes,Man City,DEF,6.0,True,False
122,Yankuba Minteh,Brighton,MID,6.0,True,False
123,Jack Hinshelwood,Brighton,MID,6.0,True,False
121,Mitoma Kaoru,Brighton,MID,6.0,True,False
404,Tijjani Reijnders,Man City,MID,6.0,True,False
335,Anton Stach,Leeds,MID,6.0,True,False
237,Iliman Ndiaye,Everton,MID,6.0,True,False
209,Brennan Johnson,Everton,MID,6.0,True,False
229,James Tarkowski,Everton,DEF,6.0,True,False
222,Jørgen Strand Larsen,Crystal Palace,FWD,6.0,True,False
542,Enzo Le Fée,Sunderland,MID,6.0,True,False
17,Mikel Merino Zazón,Arsenal,MID,6.0,True,False
6,William Saliba,Arsenal,DEF,6.0,True,False
388,Marc Guéhi,Man City,DEF,6.0,True,False
200,Maxence Lacroix,Chelsea,DEF,6.0,True,False
430,Mason Mount,Man Utd,MID,5.5,True,False
432,Kobbie Mainoo,Man Utd,MID,5.5,True,False
96,Mikkel Damsgaard,Brentford,MID,5.5,True,False
86,Keane Lewis-Potter,Brentford,MID,5.5,True,False
84,Nathan Collins,Brentford,DEF,5.5,True,False
440,Joshua Zirkzee,Man Utd,FWD,5.5,True,False
108,Callum Wilson,Brentford,FWD,5.5,True,False
565,Mamadou Sangaré,Brentford,MID,5.5,False,False
485,Dilane Bakwa,Nott'm Forest,MID,5.5,True,False
22,Ethan Nwaneri,Arsenal,MID,5.5,True,False
516,Rodrigo Bentancur,Spurs,MID,5.5,True,False
45,John McGinn,Aston Villa,MID,5.5,True,False
44,Leon Bailey,Aston Villa,MID,5.5,True,False
42,Evann Guessand,Aston Villa,MID,5.5,True,False
517,Wilson Odobert,Spurs,MID,5.5,True,False
519,Conor Gallagher,Spurs,MID,5.5,True,False
20,Max Dowman,Arsenal,MID,5.5,True,False
553,Wilson Isidor,Sunderland,FWD,5.5,True,False
520,Lucas Bergvall,Spurs,MID,5.5,True,False
533,Nordi Mukiele,Sunderland,DEF,5.5,True,False
24,Reiss Nelson,Arsenal,MID,5.5,True,False
23,Fábio Ferreira Vieira,Arsenal,MID,5.5,True,False
459,Lewis Miley,Newcastle,MID,5.5,True,False
458,Joelinton Cássio Apolinário de Lira,Newcastle,MID,5.5,True,False
97,Mathias Jensen,Brentford,MID,5.5,True,False
484,Omari Hutchinson,Nott'm Forest,MID,5.5,True,False
486,James McAtee,Nott'm Forest,MID,5.5,True,False
483,Dan Ndoye,Nott'm Forest,MID,5.5,True,False
471,Nikola Milenković,Nott'm Forest,DEF,5.5,True,False
80,Enes Ünal,Bournemouth,FWD,5.5,True,False
54,Joao Gomes,Aston Villa,MID,5.5,False,False
56,Tammy Abraham,Aston Villa,FWD,5.5,True,False
61,Adrien Truffert,Bournemouth,DEF,5.5,True,False
60,James Hill,Bournemouth,DEF,5.5,True,False
455,Sandro Tonali,Spurs,MID,5.5,True,False
581,Ousmane Diomande,Nott'm Forest,DEF,5.5,False,False
493,Arnaud Kalimuendo,Nott'm Forest,FWD,5.5,True,False
492,Taiwo Awoniyi,Nott'm Forest,FWD,5.5,True,False
499,Pedro Porro Sauceda,Spurs,DEF,5.5,True,False
472,Murillo Costa dos Santos,Nott'm Forest,DEF,5.5,True,False
579,Ronald Araujo,Liverpool,DEF,5.5,False,False
142,Reece James,Chelsea,DEF,5.5,True,False
384,Gianluigi Donnarumma,Man City,GK,5.5,True,False
392,Rayan Aït-Nouri,Man City,DEF,5.5,True,False
393,Abdukodir Khusanov,Man City,DEF,5.5,True,False
383,Harvey Elliott,Liverpool,MID,5.5,True,False
568,Valentín Barco,Chelsea,MID,5.5,True,False
578,Mykhailo Mudryk,Chelsea,MID,5.5,True,False
338,Ethan Ampadu,Leeds,MID,5.5,True,False
337,Brenden Aaronson,Leeds,MID,5.5,True,False
347,Lukas Nmecha,Leeds,FWD,5.5,True,False
358,Milos Kerkez,Liverpool,DEF,5.5,True,False
357,Jeremie Frimpong,Liverpool,DEF,5.5,True,False
350,Alisson Becker,Liverpool,GK,5.5,True,False
152,Marco Palestra,Chelsea,DEF,5.5,False,False
